"sessionCode","title","topic","format","level","Products","SpeakerNames","SpeakerCompanies","Description"
"BRK2286","Best practices for nurturing Power Apps and Microsoft Flow citizen development in enterprises","Customer Success","Panel Discussion","Intermediate (200)","Power Platform	PowerApps
Power Platform
Power Platform	Microsoft Flow
","Saurabh Pant
Sameer Bhangar
Alan Chai
Nicholas Gill
Brian Dang
Kent Weare
Andrew Welch
Manuela Pichler
Darya Mazandarany
Julie Strauss
Per Mikkelsen
Girish Nedungadi
Evan Chaki
Casey Burke
Ryan Cunningham
Matthew Bolanos
Clay Wesener
Vivek Bavishi
","Microsoft
Microsoft
Schlumberger
American Red Cross
Microsoft
Inter Pipeline @Wearsy
Applied Information Sciences (AIS)
Microsoft
Microsoft.com
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
Regal Beloit
","best practices for nurturing power apps and microsoft flow citizen development in enterprises"
"BRK3293","Live Events for professional event producers – multi-camera; VT; auditorium scenarios","Productivity","Session","Advanced (300)","Microsoft 365	Meetings and Voice
Microsoft 365
","Paul Robinson
Alex O'Donnell
","Paul Robinson
Microsoft
","live events for professional event producers – multi-camera; vt; auditorium scenarios"
"BRK2272R","Microsoft cybersecurity reference architecture: A-Z explained with live demos (REPEAT)","Security","Session","Intermediate (200)","Azure	Security
Azure
","Mohamed Gibreel
","Microsoft
","microsoft cybersecurity reference architecture: a-z explained with live demos (repeat)"
"BRK2275","AI Builder: How business users can infuse apps and processes with AI","Tooling","Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
","James Stento
","Microsoft
","ai builder: how business users can infuse apps and processes with ai"
"BRK2276R","Authorize and automate Teams guest access with surgical precision (Part 1) (Repeat)","Security","Session","Intermediate (200)","Microsoft 365	Identity and Access Management
Microsoft 365
","Michael Mukalian
","Microsoft
","authorize and automate teams guest access with surgical precision (part 1) (repeat)"
"BRK2291","Help us help you by driving feedback into the export to data lake service","Customer Success","Idea Swap & Mentoring","Intermediate (200)","","Sabin Nair
Mudit Mittal
","Microsoft
Microsoft
","help us help you by driving feedback into the export to data lake service"
"THR4008","Microsoft Learn Game Show - attend, learn, and win!","Development","","Expert (400)","","Christina Warren
Damian Brady
Erik St. Martin
David Smith
","Microsoft
Microsoft
Microsoft
Microsoft
","microsoft learn game show - attend, learn, and win!"
"THR2336","Azure Arc in action!","Data","Session","Intermediate (200)","Azure	Databases
Azure
","Meet Bhagdev
Lukas Fittl
","Microsoft
Microsoft
","azure arc in action!"
"HOL1004","Why is my app slow? Accurate performance troubleshooting","Tooling","Hands-on Labs","Foundational (100)","Azure	Developer Tools
Azure
","","","why is my app slow? accurate performance troubleshooting"
"HOL2018","Discover, classify, and protect sensitive data with the Azure Information Protection Scanner","Security","Hands-on Labs","Intermediate (200)","Microsoft 365	Information Protection
Microsoft 365
","","","discover, classify, and protect sensitive data with the azure information protection scanner"
"HOL2029","Learn how to find, protect, and govern your sensitive data using Information Protection and Governance","Security","Hands-on Labs","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","learn how to find, protect, and govern your sensitive data using information protection and governance"
"HOL2032","Optimize data usage when using Microsoft Graph","Productivity","Hands-on Labs","Intermediate (200)","Microsoft 365	Applications
Microsoft 365
","","","optimize data usage when using microsoft graph"
"THR3163","Expand SAP on Azure deployments with Azure NetApp Files","Management","Partner Led Session","Advanced (300)","Azure	Compute
Azure
Azure	Databases
Azure	DevOps 
Azure	Management and Governance
Azure	Migration
Azure	Storage
","","","expand sap on azure deployments with azure netapp files"
"BRK2308R","Azure Cost Optimization (Repeat)","Development","Panel Discussion","Intermediate (200)","","Punit Shah
","Microsoft
","azure cost optimization (repeat)"
"THR3169","Managing the deployment and procurement of 3rd party software in Azure","Development","Session","Advanced (300)","","Ryan Storgaard
","Microsoft
","managing the deployment and procurement of 3rd party software in azure"
"THR2348","Dynamics 365 Talent + Ceridian Dayforce Payroll","Fundamentals","Session","Intermediate (200)","Dynamics 365	Talent
Dynamics 365
","Brandon Potter
Michael Rice
","Microsoft
Ceridian
","dynamics 365 talent + ceridian dayforce payroll"
"HOL1009","Migration using SQL Managed Instance","Data","Hands-on Labs","Foundational (100)","Azure	Databases
Azure
","","","migration using sql managed instance"
"WRK2017","Teamwork Immersion Workshop by Vitalyst.","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by vitalyst."
"WRK2018R2","Teamwork Immersion Workshop by Catapult.","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by catapult."
"WRK2025","Compliance Immersion Workshop by Microsoft","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by microsoft"
"WRK2020R3","Security Immersion Workshop by Phoenix UK","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by phoenix uk"
"WRK2019R5","Security Immersion Workshop by Synergy Technical","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by synergy technical"
"WRK2022R4","Security Immersion Workshop by CDW","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by cdw"
"WRK2030","Teamwork Immersion Workshop by Softchoice","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by softchoice"
"WRK2024R9","Compliance Immersion Workshop by Valorem","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by valorem"
"WRK2025R8","Compliance Immersion Workshop by Microsoft","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by microsoft"
"WRK2026R1","Security Immersion Workshop by Microsoft","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by microsoft"
"WRK2025R","Compliance Immersion Workshop by Microsoft","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by microsoft"
"WRK2031R2","Teamwork Immersion Workshop by Vitalyst","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by vitalyst"
"WRK2016R4","Teamwork Immersion Workshop by Core BTS.","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by core bts."
"BRK2380","You can innovate because we administrate: Solving your storage challenges in Azure","Deployment","Partner Led Session","Intermediate (200)","Azure	Analytics
Azure
Azure	Compute
Azure	Databases
Azure	Integration
Azure	Networking
Azure	Security
Azure	Storage
Azure	Web
","William Stowe
","NetApp
","you can innovate because we administrate: solving your storage challenges in azure"
"THR2374","Building web services with gRPC","Development","Session","Intermediate (200)","Tooling & Languages	Xamarin
Tooling & Languages
","Brady Gaster
","Microsoft
","building web services with grpc"
"THR2376","Why you should learn F# this year","Development","Session","Intermediate (200)","Tooling & Languages	.NET
Tooling & Languages
","Phillip Carter
","Microsoft
","why you should learn f# this year"
"THR1139","Enable sales productivity by integrating Office 365 with Dynamics 365","Productivity","Session","Foundational (100)","Dynamics 365	Sales
Dynamics 365
","Jigisha Deb
","Microsoft
","enable sales productivity by integrating office 365 with dynamics 365"
"THR1137R","Microsoft 365 experiences + devices (Repeat)","Devices","Session","Foundational (100)","Microsoft 365	Device and Application Management
Microsoft 365
","Frank Buchholz
","Microsoft
","microsoft 365 experiences + devices (repeat)"
"PRE04","Infrastructure as code with Terraform, Ansible, and ARM","","","","","Alfred Sin
Eugene Chuvyrov
Richard Thorn
Katie Lynn
Xander Grzywinski
Eric Schwindt
Vlad Joanovic
","Microsoft
Microsoft
Microsoft
HashiCorp
HashiCorp
HashiCorp
Microsoft Azure
","infrastructure as code with terraform, ansible, and arm"
"PRE20","Advanced techniques for modernizing your identity and access management from on-premises to the cloud with Azure Active Directory","","","","","Jithesh Raj
Holly Lockhart
Stefan van der Wiele
Tarek Dawoud
Mark Morowczynski
Daniel Stefaniak
Charity Shelbourne
Pallavi DHERAM
Jeevan Desarda
Paresh Vaja
Adam Harbour
","Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
Azure AD
Microsoft
Microsoft
Microsoft
Microsoft Corporation
Microsoft
","advanced techniques for modernizing your identity and access management from on-premises to the cloud with azure active directory"
"PRE23","Technical deep-dive: Deliver Windows 10 and cross-platform mobile management solutions with Microsoft Unified Endpoint Management ","","","","","Joan Rhine
Yong Rhee
Yuji Aoki
Dave Backman
John Wilcox
Daniel Andersen
Mitchell Goodson
Aaron Hamilton
Aleksandar Bozadzhiev
Matthew Call
Clay Taylor
Neil Johnson
Carol Burns
Christine Gerth
Kevin Sullivan
Ravi Kalwani
","microsoft
Microsoft - CXE CAT - Sr. Program Manager - California
Microsoft Coporation
Microsoft
MICROSOFT
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft Intune PG
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
","technical deep-dive: deliver windows 10 and cross-platform mobile management solutions with microsoft unified endpoint management"
"PRE24","Modern enterprise networking transformation for cloud services","Infrastructure","Session","Intermediate (200)","","Jeff Mealiffe
Roshan Padmanabhan
Paul Collinge
Dave Pae
","Microsoft - @mealiffe
Microsoft
Microsoft
Microsoft
","modern enterprise networking transformation for cloud services"
"BRK3141","Securing the modern workplace with Microsoft solutions in 10 (easy) steps","","","Advanced (300)","Microsoft 365	Identity and Access Management
Microsoft 365
Microsoft 365	Advanced Compliance
Microsoft 365	Information Protection
Microsoft 365	Threat Protection
Microsoft 365	Security Management
Microsoft 365	Device and Application Management
","Michael Van Horenbeeck
","The Collective
","securing the modern workplace with microsoft solutions in 10 (easy) steps"
"UNC1001","Microsoft Power BI unconference","","","Foundational (100)","Power Platform	Power BI
Power Platform
","John White
Jason Himmelstein
Meagan Longoria
Adam Saxton
Daniel Glenn
Trebuel Gatte
","tyGraph
Rackspace
Denny Cherry & Associates Consulting
Microsoft
InfoWorks, Inc.
@MarqueeInsights
","microsoft power bi unconference"
"THR1072","Content that delivers: Tips to create awesome SharePoint pages and news","Productivity","Session","Foundational (100)","Microsoft 365	Social and Intranet
Microsoft 365
Microsoft 365	Files and Content
","Susan Hanley
","Susan Hanley LLC
","content that delivers: tips to create awesome sharepoint pages and news"
"THR1038","Effectively writing proposals and responding to RFPs for Microsoft Azure","","","Foundational (100)","Azure	Management and Governance
Azure
","Vikram Pendse
","e-Zest Solutions Ltd
","effectively writing proposals and responding to rfps for microsoft azure"
"THR3035","Developing cloud-native, worry-free applications in Azure","","","Advanced (300)","Azure	Containers
Azure
","Alex Mang
","KeyTicket Solutions
","developing cloud-native, worry-free applications in azure"
"THR2041","The case of the shrinking data: Data Deduplication in Azure Stack HCI","","","Intermediate (200)","Azure	Compute
Azure
Azure	Microsoft Azure Stack
","Dave Kawula
","Checkyourlogs.net
","the case of the shrinking data: data deduplication in azure stack hci"
"","Deploying, managing, and servicing Windows, Office and all your devices","Management","Session","Foundational (100)","","","","deploying, managing, and servicing windows, office and all your devices"
"THR3039","What's new in the Office Customization Tool","Deployment","Session","Advanced (300)","Microsoft 365	Email and Calendar
Microsoft 365
Microsoft 365	Applications
Microsoft 365	Meetings and Voice
","Chris Hopkins
","Microsoft Corporation
","what's new in the office customization tool"
"THR2005","Build a Microsoft Teams app from scratch in 20 minutes","","","Intermediate (200)","Microsoft 365	Meetings and Voice
Microsoft 365
Azure	Developer Tools
Azure
","Wictor Wilén
","Avanade
","build a microsoft teams app from scratch in 20 minutes"
"THR1075","Enterprise-ready PDF solution in Microsoft Edge","Productivity","Session","Foundational (100)","Azure	Web
Azure
Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Identity and Access Management
Microsoft 365	Security Management
","Aditi Gangwar
","Microsoft
","enterprise-ready pdf solution in microsoft edge"
"THR1081","Top 10 reasons why you’ll choose the next version of Microsoft Edge","Productivity","Session","Foundational (100)","Azure	Web
Azure
Microsoft 365	Applications
Microsoft 365
Microsoft 365	Device and Application Management
Microsoft 365	Information Protection
Microsoft 365	Identity and Access Management
Microsoft 365	Security Management
","Wale Martins
","Microsoft
","top 10 reasons why you’ll choose the next version of microsoft edge"
"BRK3195","Azure Active Directory B2B versus multi-tenant apps: Notes from the field","Citizen Dev","Session","Advanced (300)","Microsoft 365	Identity and Access Management
Microsoft 365
Azure	Web
Azure
","John Craddock
","XTSeminars Ltd
","azure active directory b2b versus multi-tenant apps: notes from the field"
"UNC1009","Helping users deal with organizational change","","","Foundational (100)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Social and Intranet
","ASIF REHMANI
Matt Wolodarsky
","VisualSP
Microsoft
","helping users deal with organizational change"
"UNC1011","Let's talk about Microsoft Teams: How to structure and build your Team","","","Foundational (100)","Microsoft 365	Identity and Access Management
Microsoft 365
Not Product Specific
","Adam deltinger
Chris Webb
","Stratiteq Sweden AB
Goodnight Midstream
","let's talk about microsoft teams: how to structure and build your team"
"UNC1012","Building your career in IT by using the skills you may already have","","","Foundational (100)","Not Product Specific
","Simon Binder
Jimmy Engström
Alexander Arvidsson
","Truesec
Azm dev
Atea Sverige AB
","building your career in it by using the skills you may already have"
"BRK2089","Using the Windows Insider Program to be successful with the next version of Windows","Productivity","Customer Showcase","Intermediate (200)","Microsoft 365	Operating System 
Microsoft 365
","Dona Sarkar
Blair Glennon
","Microsoft
Microsoft
","using the windows insider program to be successful with the next version of windows"
"BRK3265","Make the most of your blue team: Empower defenders with the correlated incidents and automation in our threat protection stack","Security","Session","Advanced (300)","Microsoft 365	Threat Protection
Microsoft 365
","Michael Shalev
Raviv Tamir
","Microsoft
Microsoft
","make the most of your blue team: empower defenders with the correlated incidents and automation in our threat protection stack"
"THR3048","Threats in the wild: Detecting on-premises threats with Azure Advanced Threat Protection","Security","Session","Advanced (300)","Microsoft 365	Threat Protection
Microsoft 365
","Tali Ash
","Microsoft
","threats in the wild: detecting on-premises threats with azure advanced threat protection"
"BRK1041","Built in and cloud powered - elevate your endpoint security with Microsoft Defender ATP","Security","Session","Foundational (100)","Microsoft 365	Threat Protection
Microsoft 365
","Heike Ritter
","Microsoft Corp
","built in and cloud powered - elevate your endpoint security with microsoft defender atp"
"BRK2110","Bringing IT and security together: How Microsoft is reinventing threat and vulnerability management","Security","Customer Showcase","Intermediate (200)","Microsoft 365	Threat Protection
Microsoft 365
","Tomer Teller
Mark Love
","Microsoft
Emirates Group
","bringing it and security together: how microsoft is reinventing threat and vulnerability management"
"THR1062","How raising diverse children positively changed my life (and my career)","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Paul Warren
","Deptive
","how raising diverse children positively changed my life (and my career)"
"THR2061","Leveraging Edge and AI in public transportation: A real-world case in Chile","","","Intermediate (200)","Azure	Analytics
Azure
Azure	AI + Machine Learning
","Patricio Cofre
","Metric Arts
","leveraging edge and ai in public transportation: a real-world case in chile"
"BRK2111","Technology and activism: Donation traceability using Azure Blockchain Services","","","Intermediate (200)","Azure	Blockchain
Azure
Power Platform	PowerApps
Power Platform
","Paul Swider
","RealActivity, LLC
","technology and activism: donation traceability using azure blockchain services"
"THR2067","Ten tips from the field for a successful roll-out of Microsoft Teams","","","Intermediate (200)","Microsoft 365	Social and Intranet
Microsoft 365
Microsoft 365	Files and Content
","Maarten Eekels
","Portiva
","ten tips from the field for a successful roll-out of microsoft teams"
"THR1025","The power of the Microsoft Flow community","","","Foundational (100)","Power Platform	Microsoft Flow
Power Platform
","Fausto Capellan Jr
","PowerApps911
","the power of the microsoft flow community"
"UNC1014","Community heroes unite: MVPs unplugged","","","Foundational (100)","Not Product Specific
","Janaka Rangama
Harjit Dhaliwal
","Dell Technologies
Tech Konnect
","community heroes unite: mvps unplugged"
"BRK2112","Empowering the business for eDiscovery in Office 365","","","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","Joanne Klein
","NexNovus Consulting
","empowering the business for ediscovery in office 365"
"THR2074","Leading IoT edge: Smart buildings use case","","","Intermediate (200)","Azure	Analytics
Azure
Azure	Internet of Things
","Jorge Maia
","CrazyTechLabs
","leading iot edge: smart buildings use case"
"THR1002","Building a Microsoft ISV partner: Lessons learned from a successful ISV start-up who quadrupled in 12 months by innovating using Microsoft Cloud","","","Foundational (100)","Power Platform	PowerApps
Power Platform
Azure	AI + Machine Learning
Azure
","Mohamed Mostafa
","Microsoft MVP - TechLabs London
","building a microsoft isv partner: lessons learned from a successful isv start-up who quadrupled in 12 months by innovating using microsoft cloud"
"THR2084","Five easy steps to securing Azure AD Identities","","","Intermediate (200)","Azure	Security
Azure
Azure	Identity
","Jesper Jensen
","solvo it
","five easy steps to securing azure ad identities"
"THR1036","Diversity is more, much more! Living in tech as a Latino who can’t dance","","","Foundational (100)","Not Product Specific
","Bruno Capuano
","Avanade
","diversity is more, much more! living in tech as a latino who can’t dance"
"THR2085","Fly, fly, fly my darling: Serverless-like data analysis system case based on solution for drones","","","Intermediate (200)","Azure	Integration
Azure
Azure	Containers
","Ihor Leontiev
","VISEO
","fly, fly, fly my darling: serverless-like data analysis system case based on solution for drones"
"BRK3201","EXAM PREP: AZ-103 | Microsoft Azure Administrator","Fundamentals","Exam Prep","Advanced (300)","Azure	Storage
Azure
Azure	Compute
","Josue Vidal
Carlos Mattos
","GFT Group
GFT Group
","exam prep: az-103 | microsoft azure administrator"
"BRK2066","Grab Taxi and Bentley Systems: Leveraging real-time insights offered by Azure Stream Analytics for business innovation","Data","Customer Showcase","Intermediate (200)","Azure	Analytics
Azure
Azure	Databases
","Krishna Mamidipaka
Marcus Kellermann
Emma An
Ainun Najib
","Microsoft
Bentley Systems
Microsoft
Grab
","grab taxi and bentley systems: leveraging real-time insights offered by azure stream analytics for business innovation"
"BRK4001","A deep-dive into conversational AI using Azure Bot Service and Cognitive Services","Intelligence","Session","Expert (400)","Azure	AI + Machine Learning
Azure
","Darren Jefford
","Microsoft
","a deep-dive into conversational ai using azure bot service and cognitive services"
"BRK2016","Azure Machine Learning and open source: Designed for each other","Intelligence","Customer Showcase","Intermediate (200)","Azure	AI + Machine Learning
Azure
","David Aronchick
Dan Jeavons
","Azure
Shell
","azure machine learning and open source: designed for each other"
"THR2020","Deploying ML models to IoT Edge devices","Intelligence","Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
","Manash Goswami
Alexandra Solomon
","Microsoft
Microsoft
","deploying ml models to iot edge devices"
"SRCH10","What's new and next for Microsoft search","Infrastructure","Session","Intermediate (200)","","Robin Thomas
Bill Baer
","Microsoft Corporation
Microsoft
","what's new and next for microsoft search"
"BRK3205","Deep dive with data migration tools and Azure Database Migration Service","Data","Session","Advanced (300)","Azure	Databases
Azure
","Venkata Raj Pochiraju
Kuldeep Chauhan
","Micrrosoft Corp
Microsoft
","deep dive with data migration tools and azure database migration service"
"BRK2022","Customer Perspectives: Unlocking Workplace Productivity with Microsoft Search in Bing","Intelligence","Session","Intermediate (200)","","Paul Bloom
Matt Akers
Jonathan Lopez
Suzanne George
Matt Varney
Eric Davis
","Microsoft
Microsoft
Schlumberger
Cognizant
KCTCS
AdventHealth
","customer perspectives: unlocking workplace productivity with microsoft search in bing"
"BRK2121","Extend the power of sensitivity labeling and protection to your own apps and ISV solutions with the Microsoft Information Protection (MIP) SDK","Security","Session","Intermediate (200)","Microsoft 365	Information Protection
Microsoft 365
","Kartik Kanakasabesan
Milton Moser
","Microsoft
Microsoft
","extend the power of sensitivity labeling and protection to your own apps and isv solutions with the microsoft information protection (mip) sdk"
"THR2097","Top new information protection capabilities announced at Microsoft Ignite","Security","Session","Intermediate (200)","Microsoft 365	Information Protection
Microsoft 365
","Alon Yardeni
","Microsoft
","top new information protection capabilities announced at microsoft ignite"
"BRK2279","How Lowe’s transformed using Microsoft 365 with help from FastTrack","Productivity","Customer Showcase","Intermediate (200)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Email and Calendar
Microsoft 365	Files and Content
Microsoft 365	Meetings and Voice
Microsoft 365	Operating System 
Microsoft 365	Social and Intranet
","Jeffery Field
Thomas Wicker
","Lowes Companies Inc
Microsoft
","how lowe’s transformed using microsoft 365 with help from fasttrack"
"BRK010","Navigate data protection and risk management in the cloud era","","","Intermediate (200)","","Alym Rayani
","Microsoft
","navigate data protection and risk management in the cloud era"
"SECI40","Accelerating deployment of Microsoft Information Protection solutions","Security","Session","Advanced (300)","Microsoft 365	Information Protection
Microsoft 365
","Rafael Dominguez
Mavi Etzyon-Grizer
Enrique Saggese
Adam Bell
","Microsoft
Microsoft
Microsoft Corporation
Microsoft
","accelerating deployment of microsoft information protection solutions"
"BRK2123","Take back the advantage: Max out your security posture with the all new Microsoft Secure Score","Security","Session","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
","Nayna Sheth
","Microsoft
","take back the advantage: max out your security posture with the all new microsoft secure score"
"THR2104","99+% of breaches didn’t occur because technology failed us. It’s time to fix the people problem!","Security","Session","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
","Brandon Koeller
","Microsoft
","99+% of breaches didn’t occur because technology failed us. it’s time to fix the people problem!"
"THR1049","Introduction to PowerShell for the anxious IT professional","","","Foundational (100)","Not Product Specific
","Jason Himmelstein
","Rackspace
","introduction to powershell for the anxious it professional"
"UNC1030","Office 365 roll out imagination fest: What is the ideal roadmap for introducing apps into companies?","","","Foundational (100)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Applications
","Tracy Van der Schyff
","The Guid Stuff
","office 365 roll out imagination fest: what is the ideal roadmap for introducing apps into companies?"
"BRK2038","Unlock your data and transform your organization with workplace intelligence (roadmap and demos)","Intelligence","Session","Intermediate (200)","","Anupama Challa
Kamal Janardhan
","Microsoft
Microsoft
","unlock your data and transform your organization with workplace intelligence (roadmap and demos)"
"THR2026","Live! MyAnalytics and Microsoft AI helps you be productive everyday","","","Intermediate (200)","","Helen Harmetz
","Microsoft
","live! myanalytics and microsoft ai helps you be productive everyday"
"BRK2233","The future of Yammer: Share knowledge, engage leaders, and build communities in Microsoft 365","Productivity","Session","Intermediate (200)","","Murali Sitaram
Jason Mayans
Steve Nguyen
","Microsoft
Microsoft - Yammer
Microsoft
","the future of yammer: share knowledge, engage leaders, and build communities in microsoft 365"
"CLB10","SharePoint news and communication sites: Inform and engage your organization","Productivity","Session","Intermediate (200)","","Brad McCabe
","Microsoft
","sharepoint news and communication sites: inform and engage your organization"
"THR3016","SharePoint site analytics and intelligence","","","Advanced (300)","","Prateek Dudeja
Patrick Kelleher
","Microsoft
Microsoft
","sharepoint site analytics and intelligence"
"BRK3005","Introducing new content capture and process automation services with Project Cortex","","","Advanced (300)","","Sean Squires
","Microsoft Corp.
","introducing new content capture and process automation services with project cortex"
"BRK2060","What's new in Microsoft 365 admin center","Management","Session","Intermediate (200)","Microsoft 365	Device and Application Management
Microsoft 365
Microsoft 365	Identity and Access Management
Microsoft 365	Security Management
","Ben Appleby
Aaron Woo
","Microsoft
Microsoft
","what's new in microsoft 365 admin center"
"BRK2061","Configuring office.com to work for your organization","Management","Session","Intermediate (200)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Device and Application Management
Microsoft 365	Email and Calendar
Microsoft 365	Files and Content
Microsoft 365	Security Management
","Karmen Smails
Vishal Mathur
","Microsoft
Microsoft
","configuring office.com to work for your organization"
"BRK3043","Maximizing your Azure Databricks deployment","Data","Session","Advanced (300)","Azure	Analytics
Azure
Azure	Databases
","Yatharth Gupta
","Microsoft
","maximizing your azure databricks deployment"
"BRK3036","Deep dive into Azure Policy and Governance","Infrastructure","Session","Advanced (300)","Azure	Management and Governance
Azure
","Liz Kim
Alexander Frankel
","Microsoft
Microsoft
","deep dive into azure policy and governance"
"BRK3178","Azure automation for managing servers across your environment","Infrastructure","Session","Advanced (300)","Azure	Management and Governance
Azure
","John Messec
Dean Wells
","Microsoft
Microsoft / Azure Product Group
","azure automation for managing servers across your environment"
"BRK3179","PowerShell 7","Infrastructure","Session","Advanced (300)","Azure	Management and Governance
Azure
","Joseph Aiello
","Microsoft
","powershell 7"
"TK05","Application Dev Keynote","Development","Session","Intermediate (200)","Azure	Containers
Azure
Azure	Developer Tools
Azure	DevOps 
Azure	Mobile
Azure	Security
Azure	Web
Azure	Azure General
","Scott Hanselman
","MICROSOFT
","application dev keynote"
"BRK2071","Increase your .NET productivity with Visual Studio and Visual Studio for Mac","Development","Session","Intermediate (200)","Azure	Developer Tools
Azure
Azure	Mobile
Azure	Web
Tooling & Languages	.NET
Tooling & Languages
Tooling & Languages	Visual Studio
","Kendra Havens
Mika Dumont
","Visual Studio and .NET, Microsoft
Microsoft
","increase your .net productivity with visual studio and visual studio for mac"
"BRK3065","Mobile app development reimagined with Xamarin and .NET","Development","Session","Advanced (300)","Azure	Developer Tools
Azure
Azure	Mobile
Azure	Web
Tooling & Languages	Xamarin
Tooling & Languages
","James Montemagno
","Microsoft
","mobile app development reimagined with xamarin and .net"
"BRK3068","Build Python apps in Azure faster with Visual Studio Code","Development","Session","Advanced (300)","Azure	Developer Tools
Azure
Azure	AI + Machine Learning
Tooling & Languages	Visual Studio
Tooling & Languages
","Nicolas Garfinkel
","Microsoft
","build python apps in azure faster with visual studio code"
"THR3020","Developing richer Microsoft 365 employee profiles through Microsoft Graph","Identity","Session","Advanced (300)","","Kevin Bellinger
","Microsoft Corporation
","developing richer microsoft 365 employee profiles through microsoft graph"
"THR1011","2019 Microsoft 365 App Award finals: Best Integration","","","Foundational (100)","","Ben Summers
","Microsoft
","2019 microsoft 365 app award finals: best integration"
"THR3073","Demystifying Windows 10 Dynamic Update","","","Advanced (300)","","Steve DiAcetis
","Microsoft
","demystifying windows 10 dynamic update"
"THR3025","Accelerate app validation against pre-release Windows builds with Update Staging Lab","","","Advanced (300)","","Rahul Gupta
","Microsoft
","accelerate app validation against pre-release windows builds with update staging lab"
"DEP30","Streamline and stay current with Windows 10 and Office 365 ProPlus","","","Advanced (300)","","Suma SaganeGowda
John Wilcox
Zachary Dvorak
","Microsoft
MICROSOFT
Microsoft
","streamline and stay current with windows 10 and office 365 proplus"
"DEP50","Why Microsoft 365 device management is essential to your zero-trust strategy","Deployment","Customer Showcase","Advanced (300)","","Mayunk Jain
Clay Taylor
Paul Forey
Anthony Golia
","Microsoft
Microsoft Intune PG
Bridgewater Associates
Bridgewater Associates
","why microsoft 365 device management is essential to your zero-trust strategy"
"BRK2084","Windows Virtual Desktop overview","Deployment","Customer Showcase","Intermediate (200)","","Scott Manchester
Matthew Betts
","Microsoft
FIS Global
","windows virtual desktop overview"
"BRK2085","Modernize your workplace with Microsoft Managed Desktop","Management","Customer Showcase","Intermediate (200)","","Bill Karagounis
Jeffrey Shomper
Simon Bullers
","Microsoft Corp - Microsoft Managed Desktop
Microsoft
Lloyds Banking Group
","modernize your workplace with microsoft managed desktop"
"BRK2127","Finding needles in a haystack: How to use Azure ATP to identify and investigate compromised users and suspicious activities at hybrid organizations.","Security","Session","Intermediate (200)","Microsoft 365	Threat Protection
Microsoft 365
","Eyal Manor
Tali Ash
","Microsoft
Microsoft
","finding needles in a haystack: how to use azure atp to identify and investigate compromised users and suspicious activities at hybrid organizations."
